Month,TOTAL_VOL_LAKH,TOTAL_VAL_CRORE,BANK_COUNT,AVG_TICKET_SIZE_INR
2024-04-01,570048.57305,13267076.214002179,2452,2327.3589025962706
2024-05-01,599317.82906,13433305.510985475,2448,2241.432652196405
2024-06-01,591350.9,12943091.700000001,2417,2188.732899535623
2024-07-01,587523.2999999999,13446998.07,2400,2288.7599640729145
2024-08-01,607102.52,13290057.25,2401,2189.09604427272
2024-09-01,608651.53,13141433.44,2402,2159.1062853321014
2024-10-01,670631.98,14953524.75,2414,2229.766130449073
2024-11-01,626151.8237,13495445.885658337,2419,2155.2993019987175
2024-12-01,702578.1497699999,14658381.227877041,2443,2086.370211296166
2025-01-01,712042.3030000001,14851024.563647784,2461,2085.6941365810653
2025-02-01,675416.9748500002,13774204.062730419,2468,2039.3630269345035
2025-03-01,764162.917,15887617.54760023,2482,2079.0877434844474
2025-04-01,746257.91321,15240510.356646854,2459,2042.2577887436232
2025-05-01,778519.6833,15653718.604378572,2470,2010.702997003926
2025-06-01,764883.93369,14853911.054521034,2477,1941.9823584033052
2025-07-01,807474.50311,15628321.864165459,2485,1935.4570087318853
2025-08-01,828688.66751,15138129.423324265,2481,1826.757142560006
2025-09-01,809857.7144,15253026.90234593,2490,1883.4205850155358
2025-10-01,851487.09508,16440668.70642946,2349,1930.8183061640887
