Month,TOTAL_VOL_LAKH,TOTAL_VAL_CRORE,BANK_COUNT,AVG_TICKET_SIZE_INR,VOL_GROWTH_%,VAL_GROWTH_%,BANK_GROWTH_%,VOL_GROWTH_VOLATILITY,ROLLING_MEAN_12M,ROLLING_STD_12M,HIGH_GROWTH_FLAG,GROWTH_STREAK,GROWTH_LEVEL,VOLATILITY_LEVEL,REGIME,VOL_GROWTH_Z,VAL_GROWTH_Z,RESIDUAL_Z,ANOMALY_FLAG,PREDICTABILITY_INDEX,MONTH_TYPE,System_Anomaly,Final_Classification
2024-04-01,570048.57305,13267076.21400218,2452,2327.3589025962706,,,,,,,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.4274079319407772,-0.2067286992135876,1.781507926393615,False,0.3595172210408034,Stable,False,Stable / Normal
2024-05-01,599317.82906,13433305.510985477,2448,2241.432652196405,5.134519652140712,1.252945971681818,-0.1631321370309968,,,,True,1,High Growth,Low Volatility,High Growth – Low Volatility,0.5391967416608593,-0.0131635488318439,-0.5263546146162954,False,0.6551557484899315,High Growth,False,Stable / Normal
2024-06-01,591350.9,12943091.7,2417,2188.732899535623,-1.3293328971200058,-3.649241883053933,-1.2663398692810413,,,,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.6776629661371849,-0.7704928756724841,0.2429328990536747,False,0.8045486612844223,Stable,True,System Shock Only
2024-07-01,587523.2999999999,13446998.07,2400,2288.7599640729145,-0.6472637481400811,3.8932457690924016,-0.7033512618949134,,,,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.5492592844318066,0.3947311560393184,1.012220412723645,False,0.4969634507615635,Stable,False,Stable / Normal
2024-08-01,607102.52,13290057.25,2401,2189.09604427272,3.3325010259167787,-1.167106734031087,0.0416666666666731,,,,True,1,High Growth,Low Volatility,High Growth – Low Volatility,0.1999557329524716,-0.3870327151808799,2.550795440063585,False,0.2816270373440867,High Growth,False,Stable / Normal
2024-09-01,608651.53,13141433.44,2402,2159.1062853321014,0.2551480102569892,-1.1183082751581086,0.0416493127863404,,,,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.3793747611899868,-0.3794939375770327,-0.5263546146162954,False,0.6551557484899315,Stable,False,Stable / Normal
2024-10-01,670631.98,14953524.75,2414,2229.766130449073,10.183240646745762,13.789144983867164,0.4995836802664355,4.373883983812574,,,True,1,High Growth,Low Volatility,High Growth – Low Volatility,1.489649294133085,1.9235290954263584,-0.5263546146162954,False,0.6551557484899315,High Growth,True,System Shock Only
2024-11-01,626151.8237,13495445.885658337,2419,2155.299301998717,-6.632573099183259,-9.750736958131975,0.2071251035625554,5.5965274430530645,,,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-1.6760303133941403,-1.7131008080605463,1.012220412723645,False,0.4969634507615635,Stable,False,Stable / Normal
2024-12-01,702578.1497699999,14658381.22787704,2443,2086.370211296166,12.205718034707358,8.617242824518744,0.9921455146754798,7.071025986659699,,,True,1,High Growth,High Volatility,High Growth – High Volatility,1.8703930107614253,1.1245321379676307,-1.2956421282862656,False,0.4356079667986039,High Volatility,True,System Shock Only
2025-01-01,712042.3030000001,14851024.563647784,2461,2085.6941365810653,1.3470605701441762,1.314219713459064,0.7367990176013084,6.903631428250444,,,False,0,Low Growth,High Volatility,Low Growth – High Volatility,-0.1738155550603075,-0.0036974893930283,-0.5263546146162954,False,0.6551557484899315,High Volatility,False,Stable / Normal
2025-02-01,675416.9748500002,13774204.06273042,2468,2039.3630269345035,-5.143701153104074,-7.250816240336699,0.2844372206420198,7.747761411250991,,,False,0,Low Growth,High Volatility,Low Growth – High Volatility,-1.3957410791569151,-1.3268929901504507,0.2429328990536747,False,0.8045486612844223,High Volatility,True,System Shock Only
2025-03-01,764162.917,15887617.54760023,2482,2079.0877434844474,13.139430226743842,15.343271199155415,0.5672609400324102,8.861050309895742,642914.9000358334,60707.03995023087,True,1,High Growth,High Volatility,High Growth – High Volatility,2.0461700317423475,2.1636229872409327,-0.5263546146162954,False,0.6551557484899315,High Volatility,True,System Shock Only
2025-04-01,746257.91321,15240510.356646854,2459,2042.2577887436232,-2.3430872385554413,-4.073028501690734,-0.9266720386784888,8.63749286741059,657599.0117158334,62756.08686758405,False,0,Low Growth,High Volatility,Low Growth – High Volatility,-0.8685084104441116,-0.8359628340108269,-0.5263546146162954,False,0.6551557484899315,High Volatility,False,Stable / Normal
2025-05-01,778519.6833,15653718.604378572,2470,2010.702997003926,4.323139429266121,2.711249413977157,0.4473363155754306,7.507469399261662,672532.4995691667,68669.56099470776,True,1,High Growth,High Volatility,High Growth – High Volatility,0.3864494607790869,0.2121268718965249,0.2429328990536747,False,0.8045486612844223,High Volatility,False,Stable / Normal
2025-06-01,764883.93369,14853911.054521034,2477,1941.9823584033047,-1.7514970915315398,-5.109377331171783,0.2834008097166052,6.525270182576506,686993.5857100001,68290.45840869032,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.7571379532813719,-0.996066319364771,-1.2956421282862656,False,0.4356079667986039,Stable,False,Stable / Normal
2025-07-01,807474.50311,15628321.86416546,2485,1935.4570087318853,5.568239512435835,5.2135145201958055,0.322971336293909,6.717876087420988,705322.8526358333,68681.89070054318,True,1,High Growth,Low Volatility,High Growth – Low Volatility,0.6208471534613721,0.5986968697473198,-0.5263546146162954,False,0.6551557484899315,High Growth,False,Stable / Normal
2025-08-01,828688.66751,15138129.423324265,2481,1826.757142560006,2.62722405701894,-3.136564789884244,-0.1609657947686082,5.6621992879181855,723788.3649283334,69654.61024877406,True,2,High Growth,Low Volatility,High Growth – Low Volatility,0.067183037450952,-0.6912904033556116,-1.2956421282862656,False,0.4356079667986039,High Growth,True,System Shock Only
2025-09-01,809857.7144,15253026.90234593,2490,1883.420585015536,-2.272379706432126,0.7589939008226132,0.362756952841603,3.578031054019022,740555.5469616667,63351.252738628384,False,0,Low Growth,Low Volatility,Low Growth – Low Volatility,-0.8551972858132536,-0.0894732294072136,0.2429328990536747,False,0.8045486612844223,Stable,False,Stable / Normal
2025-10-01,851487.09508,16440668.70642946,2349,1930.8183061640889,5.140332670763281,7.786269647900967,-5.662650602409636,3.471766078664638,755626.8065516668,66631.9485360553,True,1,High Growth,Low Volatility,High Growth – Low Volatility,0.540291077908256,0.996156731900192,0.2429328990536747,False,0.8045486612844223,High Growth,True,System Shock Only
